Place,2020 Total Population,2010 Total Population,Percent Change
Passamaquoddy Indian Township Reservation,760,718,6%
Passamaquoddy Pleasant Point Reservation,692,749,-8%
Patten town,881,1017,-13%
Pembroke town,788,840,-6%
Penobscot Indian Island Reservation,370,610,-39%
Penobscot town,1136,1263,-10%
Perham town,371,386,-4%
Perry town,802,889,-10%
Peru town,1488,1541,-3%
Phillips town,898,1028,-13%
Phippsburg town,2155,2216,-3%
Pittsfield town,3908,4215,-7%
Pittston town,2875,2666,8%
Plymouth town,1325,1380,-4%
Poland town,5906,5376,10%
Portage Lake town,359,391,-8%
Porter town,1600,1498,7%
Portland city,68408,66194,3%
Pownal town,1566,1474,6%
Presque Isle city,8797,9692,-9%
Princeton town,745,832,-10%
Prospect town,698,709,-2%
Randolph town,1743,1772,-2%
Rangeley town,1222,1168,5%
Raymond town,4536,4436,2%
Readfield town,2597,2598,0%
Richmond town,3522,3411,3%
Ripley town,484,488,-1%
Robbinston town,539,574,-6%
Rockland city,6936,7297,-5%
Rockport town,3644,3330,9%
Rome town,1148,1010,14%
Roque Bluffs town,296,303,-2%
Roxbury town,361,369,-2%
Rumford town,5858,5841,0%
Sabattus town,5044,4876,3%
Saco city,20381,18482,10%
Sanford city,21982,20798,6%
Sangerville town,1306,1343,-3%
Scarborough town,22135,18919,17%
Searsmont town,1400,1392,1%
Searsport town,2649,2615,1%
Sebago town,1911,1719,11%
Sebec town,665,630,6%
Sedgwick town,1202,1196,1%
Shapleigh town,2921,2668,9%
Sherman town,815,848,-4%
Shirley town,251,233,8%
Sidney town,4645,4208,10%
Skowhegan town,8620,8589,0%
Smithfield town,925,1033,-10%
Smyrna town,439,442,-1%
Solon town,978,1053,-7%
Somerville town,600,548,9%
Sorrento town,279,274,2%
South Berwick town,7467,7220,3%
South Bristol town,1127,892,26%
South Portland city,26498,25002,6%
South Thomaston town,1511,1558,-3%
Southport town,622,606,3%
Southwest Harbor town,1756,1764,0%
Springfield town,293,409,-28%
St. Agatha town,730,747,-2%
St. Albans town,2045,2005,2%
St. Francis town,438,485,-10%
St. George town,2594,2591,0%
Stacyville town,380,396,-4%
Standish town,10244,9874,4%
Starks town,593,640,-7%
Stetson town,1186,1202,-1%
Steuben town,1129,1131,0%
Stockholm town,250,253,-1%
Stockton Springs town,1533,1591,-4%
Stoneham town,261,236,11%
Stonington town,1056,1043,1%
Stow town,393,385,2%
Strong town,1122,1213,-8%
Sullivan town,1219,1236,-1%
Sumner town,994,939,6%
Surry town,1632,1466,11%
Swans Island town,355,332,7%
Swanville town,1377,1388,-1%
Sweden town,406,391,4%
Talmadge town,70,64,9%
Temple town,527,528,0%
Thomaston town,2739,2781,-2%
Thorndike town,774,890,-13%
Topsfield town,179,237,-24%
Topsham town,9560,8784,9%
Tremont town,1544,1563,-1%
Trenton town,1584,1481,7%
Troy town,1018,1030,-1%
Turner town,5817,5734,1%
Union town,2383,2259,5%
Unity town,2292,2099,9%
Upton town,69,113,-39%
Van Buren town,2038,2171,-6%
Vanceboro town,102,140,-27%
Vassalboro town,4520,4340,4%
Veazie town,1814,1919,-5%
Verona Island town,507,544,-7%
Vienna town,578,570,1%
Vinalhaven town,1279,1165,10%
Wade town,229,283,-19%
Waite town,66,101,-35%
Waldo town,795,762,4%
Waldoboro town,5154,5075,2%
Wales town,1608,1616,0%
Wallagrass town,519,546,-5%
Waltham town,332,353,-6%
Warren town,4865,4751,2%
Washburn town,1527,1687,-9%
Washington town,1592,1527,4%
Waterboro town,7936,7693,3%
Waterford town,1570,1553,1%
Waterville city,15828,15722,1%
Wayne town,1129,1189,-5%
Weld town,376,419,-10%
Wellington town,229,260,-12%
Wells town,11314,9589,18%
Wesley town,122,98,24%
West Bath town,1910,1877,2%
West Gardiner town,3671,3474,6%
West Paris town,1766,1812,-3%
Westbrook city,20400,17494,17%
Westfield town,455,549,-17%
Westmanland town,79,62,27%
Weston town,245,228,7%
Westport Island town,719,718,0%
Whitefield town,2408,2300,5%
Whiting town,482,487,-1%
Whitneyville town,202,220,-8%
Willimantic town,134,150,-11%
Wilton town,3835,4116,-7%
Windham town,18434,17001,8%
Windsor town,2632,2575,2%
Winn town,399,407,-2%
Winslow town,7948,7794,2%
Winter Harbor town,461,516,-11%
Winterport town,3817,3757,2%
Winthrop town,6121,6092,0%
Wiscasset town,3742,3732,0%
Woodland town,1217,1213,0%
Woodstock town,1352,1277,6%
Woodville town,201,248,-19%
Woolwich town,3068,3072,0%
Yarmouth town,8990,8349,8%
York town,13723,12529,10%
